run,n_elec,k0_m_s,D_m2_s,conc_mol_m3,Q0_uF_cm2,Rct_calc,sigma_calc,Rs_measured,Rct_measured,omega_max,f_max_Hz,Cdl_eff,sigma_fit,phase_max_deg,f_transition_Hz
1,1,1e-05,7e-10,1.0,10.0,14791.323989415892,7906.295237880654,53.32395487764826,15981.321537801352,568.4622209393395,90.47357242349302,1.1007424190143774e-07,7917.215492281418,76.2623210885675,90.47357242349302
2,1,1e-05,7e-10,1.0,100.0,14791.323989415892,7906.295237880654,50.32836754586378,16217.553474645509,43.5270844973345,6.927550656129392,1.4166255907428242e-06,8019.589509673012,76.31350360776109,6.927550656129392
3,1,1e-05,7e-10,10.0,10.0,1479.1323989415891,790.6295237880655,53.72393488224613,1528.3287432064305,7424.096981617857,1181.581732618102,8.813320883065054e-08,790.7382614008079,62.913562862808206,1181.581732618102
4,1,1e-05,7e-10,10.0,100.0,1479.1323989415891,790.6295237880655,50.33239548776483,1598.132153780135,568.4622209393395,90.47357242349302,1.1007424190143775e-06,791.721549228142,62.916655138282145,90.47357242349302
5,1,1e-05,7e-09,1.0,10.0,14791.323989415892,2500.1900805445634,53.32398088607229,16145.739436618356,568.4622209393395,90.47357242349302,1.0895331612170772e-07,2505.1527370546405,76.25206724247766,90.47357242349302
6,1,1e-05,7e-09,1.0,100.0,14791.323989415892,2500.1900805445634,50.328367805570785,16756.726683657253,43.5270844973345,6.927550656129392,1.3710435042083518e-06,2553.7367750368376,76.27407032110453,6.927550656129392
7,1,1e-05,7e-09,10.0,10.0,1479.1323989415891,250.01900805445632,53.724198495915836,1533.0743686014382,7424.096981617857,1181.581732618102,8.786039284563619e-08,250.06822903380424,62.89540107906607,1181.581732618102
8,1,1e-05,7e-09,10.0,100.0,1479.1323989415891,250.01900805445632,50.33239808860723,1614.5739436618362,568.4622209393395,90.47357242349302,1.0895331612170768e-06,250.5152737054645,62.84611478035372,90.47357242349302
9,1,0.0001,7e-10,1.0,10.0,1479.1323989415894,7906.295237880654,53.7204761957303,1746.3799627308535,5877.523322429886,935.4368899026161,9.742421139938105e-08,7905.536813780869,63.15025799985502,935.4368899026161
10,1,0.0001,7e-10,1.0,100.0,1479.1323989415894,7906.295237880654,50.33236134974126,65466.827239243124,0.06283185307179587,0.01,0.00024310776893200688,7897.900905582639,63.80548859904229,0.01
11,1,0.0001,7e-10,10.0,10.0,147.91323989415892,790.6295237880655,57.311254362556284,129.6593947895715,96958.45029312663,15431.416638680932,7.954453445636372e-08,790.6220206565405,43.25990461523082,15431.416638680932
12,1,0.0001,7e-10,10.0,100.0,147.91323989415892,790.6295237880655,50.37204761957303,174.63799627308532,5877.523322429886,935.4368899026161,9.742421139938107e-07,790.5536813780869,43.28015569714608,935.4368899026161
13,1,0.0001,7e-09,1.0,10.0,1479.1323989415894,2500.1900805445634,53.72310203699433,1513.574696396034,7424.096981617857,1181.581732618102,8.899231508535608e-08,2500.3708212301362,62.970835352762606,1181.581732618102
14,1,0.0001,7e-09,1.0,100.0,1479.1323989415894,2500.1900805445634,50.33238726980334,1824.483301310529,450.04126020497654,71.6262911569279,1.217889188247358e-06,2501.976146893155,63.137141679452796,71.6262911569279
15,1,0.0001,7e-09,10.0,10.0,147.91323989415892,250.01900805445632,57.338550830319654,130.91357115308443,96958.45029312663,15431.416638680932,7.878248301980826e-08,250.02081755360246,39.84339921501714,15431.416638680932
16,1,0.0001,7e-09,10.0,100.0,147.91323989415892,250.01900805445632,50.372310203699435,151.35746963960338,7424.096981617857,1181.581732618102,8.899231508535609e-07,250.0370821230136,39.85028943675911,1181.581732618102
17,1,0.001,7e-10,1.0,10.0,147.91323989415895,7906.295237880654,56.974039498210374,63309.93930216308,0.06283185307179587,0.01,0.00025139013691402725,7904.515705581062,44.84261067164327,0.01
18,1,0.001,7e-10,1.0,100.0,147.91323989415895,7906.295237880654,50.36871469443617,62830.36479253272,0.06283185307179587,0.01,0.00025330895915920355,7887.770385188607,45.03813061313605,0.01
19,1,0.001,7e-10,10.0,10.0,14.791323989415895,790.6295237880655,60.6671358832801,6316.008532843089,0.06283185307179587,0.01,0.002519865865669648,790.6118022562273,44.41967613751401,0.01
20,1,0.001,7e-10,10.0,100.0,14.791323989415895,790.6295237880655,50.69740394982104,6330.993930216311,0.06283185307179587,0.01,0.0025139013691402715,790.4515705581068,44.438982704829165,0.01
21,1,0.001,7e-09,1.0,10.0,147.91323989415895,2500.1900805445634,57.226522092484835,153.67226776634863,76760.25169330758,12216.77348996793,8.477506074276984e-08,2500.0369994406806,44.44411292610705,12216.77348996793
22,1,0.001,7e-09,1.0,100.0,147.91323989415895,2500.1900805445634,50.37122540787593,20188.104421869,0.06283185307179587,0.01,0.0007883600152151425,2498.635244091281,44.506568617138896,0.01
23,1,0.001,7e-09,10.0,10.0,14.791323989415895,250.01900805445632,60.78462980129953,2002.8207496050284,0.06283185307179587,0.01,0.007946539555438593,250.01747965281064,43.198879976838334,0.01
24,1,0.001,7e-09,10.0,100.0,14.791323989415895,250.01900805445632,50.72265220924848,15.367226776634865,76760.25169330758,12216.77348996793,8.477506074276982e-07,250.00369994406802,43.20482554016619,12216.77348996793
25,3,1e-05,7e-10,1.0,10.0,1643.480443268433,878.4772486534061,53.67975412027616,1545.2085505348825,7424.096981617857,1181.581732618102,8.717044455926163e-08,878.6114997843044,63.873564733327115,1181.581732618102
26,3,1e-05,7e-10,1.0,100.0,1643.480443268433,878.4772486534061,50.33194818226691,1621.5976843219046,568.4622209393395,90.47357242349302,1.084813989230757e-06,879.8261279569699,63.92637049403591,90.47357242349302
27,3,1e-05,7e-10,10.0,10.0,164.3480443268433,87.84772486534061,56.98479528866936,164.20731472343383,76760.25169330758,12216.77348996793,7.93361480657125e-08,87.84906673113392,34.17716839780151,12216.77348996793
28,3,1e-05,7e-10,10.0,100.0,164.3480443268433,87.84772486534061,50.36797541202762,154.52085505348822,7424.096981617857,1181.581732618102,8.717044455926165e-07,87.86114997843053,34.24302395666277,1181.581732618102
29,3,1e-05,7e-09,1.0,10.0,1643.480443268433,277.79889783828486,53.679991039314494,1550.5478928699606,7424.096981617857,1181.581732618102,8.687027140940726e-08,277.85967067954647,63.85730367569979,1181.581732618102
30,3,1e-05,7e-09,1.0,100.0,1643.480443268433,277.79889783828486,50.33195052264979,1640.4244974524452,568.4622209393395,90.47357242349302,1.0723638031427284e-06,278.41218757069123,63.863168641992324,90.47357242349302
31,3,1e-05,7e-09,10.0,10.0,164.3480443268433,27.779889783828484,56.98727766402786,164.36442204907235,76760.25169330758,12216.77348996793,7.926031480512193e-08,27.780496954068113,34.16348725192139,12216.77348996793
32,3,1e-05,7e-09,10.0,100.0,164.3480443268433,27.779889783828484,50.36799910393145,155.05478928699608,7424.096981617857,1181.581732618102,8.687027140940726e-07,27.78596706795467,34.188764577001535,1181.581732618102
33,3,0.0001,7e-10,1.0,10.0,164.34804432684328,878.4772486534061,56.95231754788786,162.17522687508105,76760.25169330758,12216.77348996793,8.033024578042469e-08,878.4679842917637,43.3028454605573,12216.77348996793
34,3,0.0001,7e-10,1.0,100.0,164.34804432684328,878.4772486534061,50.36766455344482,178.69012687762324,5877.523322429886,935.4368899026161,9.521493640734546e-07,878.3834924332012,43.325384066166706,935.4368899026161
35,3,0.0001,7e-10,10.0,10.0,16.434804432684327,87.84772486534061,61.396783795898294,710.9923528551944,0.06283185307179587,0.01,0.02238490223597523,87.84763233299186,40.05211694680246,0.01
36,3,0.0001,7e-10,10.0,100.0,16.434804432684327,87.84772486534061,50.695231754788786,16.217522687508108,76760.25169330758,12216.77348996793,8.033024578042469e-07,87.84679842917643,40.054079881263725,12216.77348996793
37,3,0.0001,7e-09,1.0,10.0,164.34804432684328,277.79889783828486,56.97695917788887,163.71305667382504,76760.25169330758,12216.77348996793,7.957566793421364e-08,277.8011317560166,39.961674207425105,12216.77348996793
38,3,0.0001,7e-09,1.0,100.0,164.34804432684328,277.79889783828486,50.367900560241615,183.94702234540654,5877.523322429886,935.4368899026161,9.249385421050962e-07,277.82120830759374,39.969367263523296,935.4368899026161
39,3,0.0001,7e-09,10.0,10.0,16.434804432684327,27.779889783828484,61.41463667719047,231.6909967915403,0.06283185307179587,0.01,0.06869276117582249,27.77991212587009,32.01424885943899,0.01
40,3,0.0001,7e-09,10.0,100.0,16.434804432684327,27.779889783828484,50.697695917788884,16.371305667382515,76760.25169330758,12216.77348996793,7.957566793421358e-07,27.780113175601638,32.01477563051195,12216.77348996793
41,3,0.001,7e-10,1.0,10.0,16.434804432684327,878.4772486534061,61.167144503874844,7019.089726726547,0.06283185307179587,0.01,0.0022674584495747645,878.4553690932206,44.46444383701621,0.01
42,3,0.001,7e-10,1.0,100.0,16.434804432684327,878.4772486534061,50.66472182718244,7033.978841103416,0.06283185307179587,0.01,0.002262658826351101,878.2574409666088,44.48593304707278,0.01
43,3,0.001,7e-10,10.0,10.0,1.643480443268433,87.84772486534061,51.71803724716135,700.7675204420439,0.06283185307179587,0.01,0.022711518220978687,87.84750617107244,41.07454645630376,0.01
44,3,0.001,7e-10,10.0,100.0,1.643480443268433,87.84772486534061,51.116714450387484,701.9089726726544,0.06283185307179587,0.01,0.022674584495747656,87.84553690932198,41.076404639373,0.01
45,3,0.001,7e-09,1.0,10.0,16.434804432684327,277.79889783828486,61.34070543389528,2226.633944786713,0.06283185307179587,0.01,0.007147782124876418,277.7970108859404,43.33387694257495,0.01
46,3,0.001,7e-09,1.0,100.0,16.434804432684327,277.79889783828486,50.68757710748912,15.75505784482661,76760.25169330758,12216.77348996793,8.268821328795808e-07,277.7799952653315,43.34052034323551,12216.77348996793
47,3,0.001,7e-09,10.0,10.0,1.643480443268433,27.779889783828484,51.65421882214812,221.62928713244082,0.06283185307179587,0.01,0.07181133195487283,27.779870917611014,34.29926448174979,0.01
48,3,0.001,7e-09,10.0,100.0,1.643480443268433,27.779889783828484,51.13407054338953,222.66339447867125,0.06283185307179587,0.01,0.0714778212487642,27.77970108859406,34.29968954840758,0.01
