f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,1.174348e+03,-1.108219e+03,1.614696e+03,-43.3405
1.263134e-02,7.936502e-02,1.052185e+03,-9.860515e+02,1.442010e+03,-43.1416
1.595506e-02,1.002486e-01,9.434894e+02,-8.773514e+02,1.288378e+03,-42.9198
2.015338e-02,1.266274e-01,8.467761e+02,-7.806340e+02,1.151703e+03,-42.6726
2.545641e-02,1.599473e-01,7.607243e+02,-6.945785e+02,1.030117e+03,-42.3976
3.215484e-02,2.020348e-01,6.841588e+02,-6.180094e+02,9.219593e+02,-42.0919
4.061586e-02,2.551970e-01,6.160338e+02,-5.498812e+02,8.257524e+02,-41.7526
5.130326e-02,3.223479e-01,5.554189e+02,-4.892633e+02,7.401816e+02,-41.3765
6.480286e-02,4.071684e-01,5.014862e+02,-4.353279e+02,6.640774e+02,-40.9604
8.185467e-02,5.143081e-01,4.534990e+02,-3.873383e+02,5.963995e+02,-40.5010
1.033934e-01,6.496398e-01,4.108019e+02,-3.446391e+02,5.362223e+02,-39.9947
1.305997e-01,8.205818e-01,3.728117e+02,-3.066472e+02,4.827226e+02,-39.4382
1.649648e-01,1.036504e+00,3.390095e+02,-2.728436e+02,4.351679e+02,-38.8280
2.083726e-01,1.309244e+00,3.089336e+02,-2.427668e+02,3.929067e+02,-38.1610
2.632024e-01,1.653749e+00,2.821731e+02,-2.160059e+02,3.553592e+02,-37.4344
3.324598e-01,2.088906e+00,2.583626e+02,-1.921954e+02,3.220098e+02,-36.6455
4.199411e-01,2.638568e+00,2.371768e+02,-1.710101e+02,2.923992e+02,-35.7925
5.304417e-01,3.332864e+00,2.183262e+02,-1.521608e+02,2.661189e+02,-34.8743
6.700188e-01,4.209852e+00,2.015535e+02,-1.353899e+02,2.428050e+02,-33.8905
8.463232e-01,5.317605e+00,1.866295e+02,-1.204685e+02,2.221333e+02,-32.8421
1.069019e+00,6.716846e+00,1.733503e+02,-1.071926e+02,2.038151e+02,-31.7309
1.350314e+00,8.484273e+00,1.615345e+02,-9.538108e+01,1.875925e+02,-30.5605
1.705627e+00,1.071677e+01,1.510207e+02,-8.487254e+01,1.732357e+02,-29.3357
2.154435e+00,1.353671e+01,1.416653e+02,-7.552348e+01,1.605392e+02,-28.0626
2.721339e+00,1.709868e+01,1.333404e+02,-6.720623e+01,1.493196e+02,-26.7490
3.437414e+00,2.159791e+01,1.259324e+02,-5.980722e+01,1.394126e+02,-25.4038
4.341913e+00,2.728105e+01,1.193400e+02,-5.322540e+01,1.306712e+02,-24.0368
5.484417e+00,3.445961e+01,1.134731e+02,-4.737094e+01,1.229640e+02,-22.6588
6.927551e+00,4.352708e+01,1.082516e+02,-4.216391e+01,1.161732e+02,-21.2809
8.750422e+00,5.498052e+01,1.036042e+02,-3.753326e+01,1.101934e+02,-19.9142
1.105295e+01,6.944774e+01,9.946737e+01,-3.341583e+01,1.049303e+02,-18.5697
1.396135e+01,8.772177e+01,9.578453e+01,-2.975549e+01,1.002999e+02,-17.2574
